entry_time,exit_time,symbol,timeframe,asset_class,direction,exit_reason,label,gross_r,cost_r,net_r,risk_amount,money_pnl,equity_after,open_slots_in_use
2024-06-18 07:00:00+00:00,2024-06-18 16:00:00+00:00,XRP-USD,1h,crypto,short,tp,1,3.0,0.276,2.724,73.0,198.86,7499.1,2
2024-06-18 08:00:00+00:00,2024-06-18 13:00:00+00:00,GBPUSD=X,1h,fx,long,tp,1,3.0,0.1921,2.8079,74.99,210.57,7709.67,3
2024-06-18 09:00:00+00:00,2024-06-18 10:00:00+00:00,EURUSD=X,1h,fx,long,sl,0,-1.0,0.375,-1.375,77.1,-106.01,7603.66,4
2024-06-18 11:00:00+00:00,2024-06-18 12:00:00+00:00,GBPJPY=X,1h,fx,long,sl,0,-1.0,0.0906,-1.0906,76.04,-82.93,7520.73,4
2024-06-18 12:00:00+00:00,2024-06-18 13:00:00+00:00,GC=F,1h,commodities,short,sl,0,-1.0,0.4794,-1.4794,75.21,-111.26,7409.47,4
2024-06-18 12:00:00+00:00,2024-06-18 13:00:00+00:00,USDCAD=X,1h,fx,long,sl,0,-1.0,0.3045,-1.3045,74.09,-96.66,7312.81,5
2024-06-18 13:30:00+00:00,2024-06-20 13:30:00+00:00,XOM,1h,us_stocks,short,sl,0,-1.0,0.1452,-1.1452,73.13,-83.74,7229.07,2
2024-06-18 14:00:00+00:00,2024-06-18 20:00:00+00:00,ETH-USD,1h,crypto,short,sl,0,-1.0,0.6726,-1.6726,72.29,-120.91,7108.16,3
2024-06-18 15:30:00+00:00,2024-06-20 13:30:00+00:00,PG,1h,us_stocks,short,sl,0,-1.0,0.2923,-1.2923,71.08,-91.86,7016.3,4
2024-06-18 15:30:00+00:00,2024-06-20 13:30:00+00:00,XLE,1h,etfs,long,tp,1,3.0,0.1594,2.8406,70.16,199.3,7215.6,5
2024-06-18 16:00:00+00:00,2024-06-20 08:00:00+00:00,USDJPY=X,4h,fx,long,tp,1,3.0,0.0832,2.9168,72.16,210.47,7426.07,5
